Competition,Award Category,Year,Item,Original Name,Name,Data Processing,Brief Comments,Data Source Label Location,Original Content,Translated Text,Manual,Machine,Rank,Link
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Some signs,Blur processing,Text,本作品将从数据的视角去解读藏文的文化价值。,This work will interpret the cultural value of Tibetan from the perspective of data.,None,Some signs,3,https://v.qq.com/x/page/t3263rg503z.html
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Clearly marked,Clearly stated,Picture annotation,我们这么做是为了通过数据可视化，克服文化障碍井增强藏汉文化关联。,We do this to overcome cultural barriers and enhance Tibetan-Chinese cultural associations through data visualization.,None,Clear,4,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Some signs,Blur processing,Text,这是个探索藏族语言文字的数字工具，就可以匹配到相应的藏文招牌走进藏地生活，你只需要画两笔去了解藏文字形。,This is a digital tool for exploring the Tibetan language and characters. You can match the corresponding Tibetan signboards and enter Tibetan life. You only need to draw two strokes to understand the Tibetan characters.,Some signs,Some signs,3.5,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Some signs,Blur processing,Text,我们通过时间轴还原了老师在传习所里一天的生活，他每天大都分时间都花费在藏文书法及相关知识的学习上。,We restored the teacher's day-to-day life in the school through the time axis. He spends most of his time on learning Tibetan calligraphy and related knowledge every day.,Some signs,Some signs,3.5,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Clearly marked,Clearly stated,Text,我们将诗歌中的词语进行拆分，并对书写时采集到的脑电波数据与肌电数据进行图形可视化呈现。,We split the words in the poems and visualized the brainwave data and EMG data collected during writing.,None,Clear,4,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Clearly marked,Relatively clear,Picture annotation,这里我们可视化呈现了藏文书法和汉字书法书写《玛吉阿米》的整个运动过程，对诗歌中每个词语的肌点和触电数据进行分析，,"Here we visualize the entire movement process of writing ""Maji Ami"" in Tibetan calligraphy and Chinese calligraphy, and analyze the muscle points and electric shock data of each word in the poem.",None,Some signs,4,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Some signs,Blur processing,Text,这里将词语的脑电图与肌图结合起来进行排列，对比分析更直观。,"Here, the EEG of the words and the muscle diagram are combined for arrangement, and the comparative analysis is more intuitive.",Some signs,Unclear,2,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Some signs,Blur processing,Text,接着在规范了每个词语的书写格式和范围下，呈现了不同词语的 “墨水比”。,"After standardizing the writing format and scope of each word, the ""ink ratio"" of different words is presented.",Unclear,Some signs,3,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Clearly marked,Clearly stated,Text,最后将文字进行了字面分析，结合参数化的几何图形进行呈现，将图形与文字一一对应。,"Finally, the text is analyzed literally, combined with parameterized geometric figures for presentation, and the graphics and text are one-to-one correspondence.",Some signs,Clear,4.5,
China Data Content Competition,Best data content,2021,Gold Award,解构藏文,Deconstruct Tibetan,Clearly marked,Clearly stated,Text,我们对其中64首诗歌进行内容的可视化分析和情感解读，我们参考了关系图的形态，视图由三层结构组成。,"We conducted visual analysis and emotional interpretation of the content of 64 of the poems. We referred to the form of the relationship diagram, and the view was composed of a three-layer structure.",Unclear,Clear,5,
