,award_category,prize,title,link
0,最佳数据内容,first,解构藏文,https://v.qq.com/x/page/t3263rg503z.html
1,最佳数据内容,second,何以安居？7478个关于烂尾楼的等待,https://www.thepaper.cn/newsDetail_forward_9096385
2,最佳数据内容,second,被拐的她们：1252段被标价的人生,https://1252abductedwomen.wixsite.com/theirtraffickedlife
3,最佳数据内容,third,“她”杀：困在爱恨牢笼里的致命女人,https://serverless-page-bucket-xgd7eubk-1306640786.cos-website.ap-beijing.myqcloud.com/
4,最佳数据内容,third,450位“福利姬”的性与生 ​——色情与金钱诱惑,https://3588821151.wixsite.com/fljsjxw
5,最佳数据内容,third,我们与癌的距离：癌症真的年轻化了吗？,https://mp.weixin.qq.com/s/rIjXJ4gS0n8SR5Q97YT9pw
6,最佳数据内容,special,虚拟公墓里的129万字：关于死亡、追忆和爱,https://mp.weixin.qq.com/s/HrA7DG6zlBge1C0Nfuyl7w
7,最佳数据内容,special,人大代表建议：从提出到落实，有多长的路要走？,https://hellowod.wixsite.com/datajournalism
8,最佳信息设计海报,first,方圆之迹,https://www.zcool.com.cn/work/ZNTQwMjI0MzY=.html
9,最佳信息设计海报,second,《建党百年》中国共产党发展历程信息可视化设计,https://www.behance.net/gallery/127556287/_
10,最佳信息设计海报,second,大辽舆仪·辽代车马仪仗制度信息图设计,https://www.zcool.com.cn/work/ZNTQwNzYzMTI=.html
11,最佳信息设计海报,second,诗歌·女性,https://www.zcool.com.cn/work/ZNTQxMTM2ODA=.html
12,最佳信息设计海报,third,凤冠霞帔——宋朝婚嫁服饰信息可视化设计,https://m.weibo.cn/7360794060/4636545766920005
13,最佳信息设计海报,special,神门道, https://www.zcool.com.cn/work/ZNTMzOTgxODA=.html
14,最佳信息设计海报,special,致最可爱的人,https://m.weibo.cn/6468169204/4663888585690640
15,最佳移动信息设计,first,探究中国百年轨道交通发展——从时速600公里高速磁浮交通系统入手,https://economy.gmw.cn/2021-07/28/content_35034753.htm
16,最佳移动信息设计,second,南方暴雨成灾，这一切是如何发生的？,https://www.thepaper.cn/newsDetail_forward_8301073
17,最佳数据视频,third,沙尘暴频袭下，中国的天空保卫战输了吗？,https://news.cgtn.com/news/2021-07-07/Did-Beijing-fail-air-pollution-battle-due-to-sandstorms--11G4s5sNV3a/index.html
18,最佳数据视频,special,从千米高空看武汉经济复苏，这份光明，人人都有贡献力量！,https://news.cgtn.com/news/2021-03-10/Satellite-maps-reveal-Wuhan-s-tough-journey-of-economic-recovery-Yw9lT9Ysdq/index.html
19,最佳数据视频,first,数据可视化全球恐怖主义袭击,https://www.bilibili.com/video/BV1yv411k7Rq/
20,最佳数据视频,first,“天问一号”成功着陆，有哪些火星车在等待与它会面？,https://www.thepaper.cn/newsDetail_forward_12677852
21,最佳数据视频,second,蓄滞洪区：更大的水，更少的地，可有良策？,https://www.thepaper.cn/newsDetail_forward_8267907
22,最佳数据视频,third,中国年轻女性在前沿领域大显身手,https://news.cgtn.com/news/2021-05-31/Young-women-in-China-are-empowering-themselves-in-frontier-roles-10HPV5C3Rbq/index.html
